titulo,autor,exemplar,area
MEIN ONKEL FRANZ,ERICK KASTNER,EX.01,ALEMAO
LAS CASAS,HANS MAGNUS ENZENSBERGER,EX.01,ALEMAO
DER GETEILTE HIMMEL,CHRISTA WOLF,EX.01,ALEMAO
DER GOTLICHE BLICK,BODO M. WOLF,EX.01,ALEMAO
SCHANGENBADEN,STEFANIE MENZINGER,EX.01,ALEMAO
EIN HAUS AUS LAUTER LEIBE,SIEGFRIED LENS,EX.01,ALEMAO
MAN KANN RUHIG DARUBER SPRECHEN,HEINRICH SPOERL,EX.01,ALEMAO
MARCHEN AUS DEM ORIENT,WILHELM HAUFF,EX.01,ALEMAO
CURSO INTENSIVO DE ESPANHOL RáPIDO-,LOURDES MIQUEL-CUADERNO DE EJERCICIOS,EX.01-EX.02-,ESPANHOL
ESPAñOL SIN FRONTERAS- LIBRO DEL ALUMNO,JESUS SANCHES -ELEMENTAL,EX.01,ESPANHOL
ESPAñOL SIN FRONTERAS -CUADERNO DE EJERCICIOS,JESUS SANCHES,EX.01,ESPAñOL
SUEñA (1) EX.01-EX.0HTTP://WWW2.CEL.UNICAMP.BR/BIBLI/COLABORADOR_LIVROS/LIVROS.PHP?PAGE=882,M. ANGELES ALVAREZ MARTINEZ,EX.01-EX.02-,ESPANHOL
EXPANSION,ROMANOS & JACIRA,EX.01,ESPANHOL
EL ARTE DE LEER ESPAñOL -ENSINO MEDIO,DEISE CRISTINA DE LIMA PICANçO,EX.01,ESPANHOL
MUCHO (3),ADDA NARI -LIBRO DEL PROFESSOR,EX.01,ESPANHOL
COMPAñEROS (2)LIBRO DEL ALUMNO,FRANCISCA CASTRO,EX.01-EX.02-,ESPANHOL
ESPAñOL SIN FRONTERAS -NIVEL SUPERIOR,JESUS SANCHES LOBATO,EX.01,ESPANHOL
ARRIBA (4)C/ CD,BEATRIZ NOVICK,EX.01,ESPANHOL
ARRIBA (4),BEATRIZ NOVICK,EX.01-EX.02-,ESPANHOL
ARRIBA (4) LIBRO DEL ALUMNO,BEATRIZ NOVICK,EX.01,ESPANHOL
SUEñA -(2)- CUADERNO DE EJERCICIOS,ANAYA,EX.01,ESPAñOL
ARRIBA (2),MARILIA VASQUES CALLEGARI,EX.01,ESPANHOL
CURSO DE ESPAñOL PARA ESTRANJEROS (2),VIRGILIO BAROBIO -LIBRO DEL ALUMNO,EX.01,ESPANHOL
DON JUAN TENORIO- (3),JOSE ZORRILLA,EX.01-EX.02-EX.03,ESPANHOL
EL ORO DE LOS SUEñOS,JOSE MARIA MERINO,EX.01,ESPANHOL
EL SEñOR PRESIDENTE -(6),MIGUEL ANGEL ASTURIAS,EX.01,ESPANHOL
QUE CAMINO TOMAR?,EDWIN BECERRA,EX.01,ESPANHOL
PARA LOS NIñOS SIEMPRE HAY TIEMPO,MARIA ESMERALDA BALLESTEROS,EX.01,ESPANHOL
MACHUPIJCHU,VICTOR ANGLES VARGAS,EX.01,ESPANHOL
VIAJE AL CENTRO DE LA TIERRA,JULIO VERNE,EX.01,ESPANHOL
LOS CUENTOS DE TEPETONGO,SEVERINO SALAZAR,EX.01,ESPANHOL
EL HOMBRE DEL PERRITO,SIMENON,EX.01,ESPANHOL
RULFO - RELATOS,ALIANZA CIEN,EX.01,ESPANHOL
BOQUITAS PINTADAS,MANUEL PUIG,EX.01,ESPANHOL
UNA SEMANA EN SAO PAULO,RUBENS BORBA DE MORAIS,EX.01,ESPANHOL
LETRA MUERTA,JUAN JOSE MILLAS,EX.01,ESPANHOL
LA CELESTINA,FERNANDO DE ROJAS,EX.01,ESPANHOL
ROMANCERO GITANO,FEDERICO GARCIA LORCA,EX.01,ESPANHOL
ECO - B 1 -N. 2 -CUADERNO DE REFUERZO,EDELSA,EX.01-EX.02-,ESPANHOL
ECO B 2 - CURSO MODULAR DE ESPAñOL LENGUA EXTRANJERA-EX.01-EX.02,EDELSA,EX.01-EX.02-,ESPANHOL
QUIEN VA A CANTAR -,RADA,EX.01-EX.02-,ESPANHOL
CURSO DE PUESTA A PUNTO EN ESPAñOL,EDELSA,EX.01,ESPANHOL
PREPARACION CERTIFICADO INICIAL ESPAñOL LENGUA EXTRANJERA,EDELSA,EX.01,ESPANHOL
CONEXION - CANCIONES,DESCONHECIDO,EX.01-EX.02-EX.03,ESPANHOL
CONEXION -CD 1-EX.01-EX.02-EX.03,DESCONHECIDO,EX.01-EX.02-EX.03,ESPANHOL
CONEXION - CD 2,DESCONHECIDO,EX.01-EX.02-,ESPANHOL
